company_name,company_size,description,founded,headquarters,image,industry,name,num_employees,phone,specialties,type,website
"aces
",11-50 employees,"Met ruim 25 jaar ervaring in werving en selectie en arbeidsmarktvraagstukken heeft ACES International een totaal visie op de arbeidsmarkt ontwikkeld. Zowel vanuit commercieel als vanuit maatschappelijk perspectief. Voor relaties is ACES International een betrouwbare en creatieve partner op het gebied van search tot en met innovatieve concepten die mens en organisatie laten meebewegen in een veranderende markt.

Voor opdrachtgevers en kandidaten is ACES International een kundig sparringpartner. Integer, oprecht, kritisch, persoonlijk en vooruitstrevend.",1990,,https://media.licdn.com/dms/image/C4D0BAQFeOfNtm-0MrA/company-logo_400_400/0?e=1583971200&v=beta&t=ajXm5oWvkC2mVhj5cd6l4bLYZoIRpzlb1Opo0uPgqzg,Staffing & Recruiting,ACES,689.0,,,Privately Held,http://www.aces.nl
"actzero
",11-50 employees,"We are revolutionizing the Managed Security Services industry by building a unified, AI-driven security platform that will give users better protection, faster, and with more precision, at a fraction of the cost of traditional approaches.",2019,"Seattle, WA",https://media.licdn.com/dms/image/C4E0BAQHMD1P6h4-35Q/company-logo_400_400/0?e=1583971200&v=beta&t=nnHdf4FIAgkjqCQKfytHsmc4BQVHuuhvaNX9yHuLwko,Computer Software,ActZero.ai,12.0,,"Machine Learning, Cybersecurity, Artificial Intelligence, and Engineering",Privately Held,http://www.actzero.ai
"activesoftware
",0-1 employees,Highlands College Student - Educational Purpose ONLY,2018,"Saint Helier, Jersey",https://media.licdn.com/dms/image/C4D0BAQFB-M9sE6UtKw/company-logo_400_400/0?e=1583971200&v=beta&t=t53wZh1d9sS-dKDFSjlXCuXRPrg5cFlQ_hyY1MzunGQ,Computer Software,Active Software,,"07700 335945
        

          Phone number is 07700 335945",Computers,Nonprofit,http://www.highlandscomputing.net/level3it/luis
"acuson
",2-10 employees,"Supply of products and implementation of integrated systems for the videocommunication

Rental and services for exhibitions and conferences,company presentations, exhibitions, road shows, conventions, assemblies",,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Information Technology & Services,Acuson,17.0,,,Privately Held,http://www.acuson.it
"adbuddy
",2-10 employees,Small business proximity marketing platform designed to manage your loyalty programs and coupons. :),2012,,https://media.licdn.com/dms/image/C4E0BAQGEYFOodqsGNg/company-logo_400_400/0?e=1583971200&v=beta&t=HU-eb4r-IxgltXUKLrSIAs75Jgatef5d_EnU1IBJS4g,Marketing & Advertising,AdBuddy,,,,Privately Held,http://www.adbuddypro.com
"adforce
",11-50 employees,"Adforce is a digital business agency located in Leuven (Kessel-Lo).

Our company offers a variety of services and solutions to deploy the internet as a communication medium. The company has 3 divisions, being online media, development and digital strategy.

With adforce, you get professional advice and high quality implementation for all of your online communications & digital business.",2006,"Leuven (Kessel-Lo), Vlaams-Brabant",https://media.licdn.com/dms/image/C4D0BAQE-Sdda-jq4uw/company-logo_400_400/0?e=1583971200&v=beta&t=yqcJa9W6n-XMfRofd-YidCtMYneCG5oLJ0ZnfRWE8JI,Internet,adforce,14.0,,"Affiliate Marketing, Search Engine Marketing, Search Engine Optimization, Social Media Monitoring / Marketing / Advertising, Online Media Buying / Planning, Web / Creative / App Development, Business Audit & Strategy, Usability & Conversion Optimization, and IT Law",Privately Held,http://www.adforce.be
"adinterax
",11-50 employees,"AdInterax is a company based out of 1223 PEOPLES AVE, Troy, New York, United States.",,"Troy, New York",,,,,,,,
"adaytum
",201-500 employees,"Adaytum is a company based out of 3901 Hartzdale Dr, Camp Hill, PA, United States.",,"Camp Hill, PA",,,,,,,,
"adsmart
",2-10 employees,"Adsmart are a full service marketing company powered by an dynamic and experienced team of consultants, designers, developers and marketers.

At adsmart we see ourselves as an extension of your marketing department. We work in an integrated way to maximise your on-line / off-line profile and communicate your message in a way that really hits home with targeted leads.

Our team of skilled and highly experienced Consultants, Marketeers, Designers and Developers work in tandum to deliver results to our clients whether it be web design, graphic design, retail consultancy or print.",,"Nenagh, Co. Tipperary",https://media.licdn.com/dms/image/C560BAQG_cXZL6TKfeg/company-logo_400_400/0?e=1583971200&v=beta&t=tom5Ri1phFl4afvXZyJ5rcZyaicxB-zIRHZRjyzlPrI,Marketing & Advertising,Adsmart,10.0,,"Web Design, E-Commerce, E-Marketing, Graphic Design, Retail Consultancy, and Print Management",Privately Held,http://www.adsmart.ie
"advancedautomation
",,"For over 25 years, Advanced Automation has been an barcode based technology provider specializing in product identification and tracking solutions. Products include barcode scanners, mobile computers, rugged tablets, thermal (barcode) printers, along with all the consumables used in these printers.  We partner with all the leading vendors in the industry, servicing customers in the manufacturing, warehousing, distribution, agriculture and healthcare environments, but not limited to.  

Having been in business for over 25 years, we’ve developed an extensive record working with large and small companies, in many industries, and tackling a broad range of challenges. We understand the obstacles many businesses face, especially those relating to the variety of processes and procedures revolving around managing inventory, product identification and asset tracking.
 
Our specialists have the know-how and technical information needed to help you address your business challenges. Product and technical knowledge, industry knowledge and practical experience continue to be a differentiator in today's competitive landscape.  We understand that in the technology world, it’s more than just supporting the technology itself, as it’s more about supporting the people that use these technologies day in and day out.

Advanced Automation represents only the best manufacturers in the industrial technologies and barcoding world, which provides you with a broad choice of solutions. We have the product specialists on staff and access to top-tier vendor support, so your questions or issues never go unresolved.

When you work with Advanced Automation, you will receive a refreshing level of support and service you’re unlikely to find many other places. We don’t just sell hardware, but provide guidance, support, details and follow through far beyond a single transaction. We are your partner and you can count on us to be there to support you whenever needed.",,,https://media.licdn.com/dms/image/C560BAQHdJQBBBYTmWg/company-logo_400_400/0?e=1583971200&v=beta&t=RXI5W6RsqsRDk3qfQYiTfP-J-0uSOqABwfBPNlH4FNI,Business Supplies & Equipment,"Advanced Automation, Inc.",,,,,https://www.advanced-automationinc.com
"advancedcare
",11-50 employees,"AdvancedCare develops mobile solutions for healthcare providers and facilities to enhance patient care, improve health outcomes and follow-up, increase operational efficiency, and enforce safety standards. Our tailored solutions advance the clinical, financial, and operational results of our clients. We seek to improve the lives of those who practice medicine and those that they care for.",2016,"Vancouver, British Columbia",https://media.licdn.com/dms/image/C560BAQFTR9nNa_7p_g/company-logo_400_400/0?e=1583971200&v=beta&t=ld3f-JM4FZF-LwTyRcbJVU3lbn-zW7tKgG1h4npnIeE,Computer Software,AdvancedCare,4.0,,"Medical Technology, Electronic Health Records (EHR), Mobile Technology, Patient Engagement, Medical Billing, and Health Information Technology",Privately Held,https://advancedcare.com/
"advancedconcepts
",2-10 employees,We are a software company specialised in the field of medical software. Our software runs on Apple macOS and iOS as well as on  Microsoft Windows Systems.,1994,"Ossingen, ZH",https://media.licdn.com/dms/image/C4E0BAQHq0IAnLfesCw/company-logo_400_400/0?e=1583971200&v=beta&t=YQPE2Jnqr634tsJKch8QPxhu4GxX2Udy3qY_AygnmtM,Computer Software,Advanced Concepts AG,1.0,,,Public Company,http://www.advancedconcepts.ch
"advantium
",,"ADVANTIUM is a company based out of 36 Waaienberg, Opwijk, Belgium.",,,,,,,,,,
"advertising
",0-1 employees,"Samrat ICT Limited is an IT Consulting and ICT Service Provider company. Samrat ICT is registered with Registrar Joint Stock Companies as Private Limited Company.The main focus area of Samrat ICT Limited is to provide Business driven solutions, SMS marketing, E-mail Marketing, Outsourcing, ERP Software, E-Commerce Solution, Advertisement, ICT Training Center, Web Design Services & Web Application Development, Dynamic..",,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Accounting,Advertising,1429.0,,,Public Company,http://samratict.com
"aerogen
",201-500 employees,"Over seven million respiratory patients worldwide have benefited from Aerogen's pioneering aerosol drug delivery technology. 

Aerogen works across all modalities for ventilated and non-ventilated patients, significantly improving aerosol drug delivery resulting in better patient care throughout the hospital.  

Where to find us over the coming months: 
Arab Health, Jan 28-31, Dubai
Criticare, Jan 31 - Feb 3, Mumbai 
ISICEM, Mar 19-22, Brussels


We're hiring! Check out our Careers page on LinkedIn or go to Aerogen.com/careers",1997,"Lower Dangan, Galway",https://media.licdn.com/dms/image/C4D0BAQHry61b01hZng/company-logo_400_400/0?e=1583971200&v=beta&t=0Swwaa0xVT8lUgYxgBbUfwED4BHIAhhrdBqexsQ-dic,Medical Device,Aerogen,238.0,,"Medical Devices, Product Development, Nebulizer Expertise, Drug Delivery, Aerosol Drug Delivery, Pharma, Patient Care, and Medtech",Privately Held,http://www.aerogen.com
"aferstop
",11-50 employees,"Aferstop is a mobile application publishing company founded in Clarksville, Tennessee. The company publishes a voice activated app that combines file sharing (for license and registration information) and video chat, so that interactions between American cop and black citizen can be recorded and begin happening from a safer distance. By allowing information (driver’s license, open carry license, registration, criminal background, etc.) to be exchanged and confirmed automatically via the app, physical contact can be minimized and tensions can be kept from escalating during a traffic stop, unless there is cause for an arrest. Aferstop briefs police on a citizen’s interests (sports teams, hobbies, books, etc.) to encourage small talk and common ground connection. The app can hail specially trained “police mediators” for the citizen in the event of the citizen’s panic, and will survey citizens after police interactions so as to collect and aggregate city- and nation-wide incidence rates.",,,https://media.licdn.com/dms/image/C4D0BAQFiCkqgcHk1fw/company-logo_400_400/0?e=1583971200&v=beta&t=svRI_iZDGO_C7nq16NyhjNQChEnhwks5h5J0FdZZLdc,Computer Networking,Aferstop,,,,Privately Held,
"agawi
",11-50 employees,"Agawi (Any Game, AnyWhere, Instantly) was the world’s largest cloud-based game and mobile app streaming platform for post-PC era consumer devices: Mobile, Tablets, Smart TVs, and Chromebooks. Just like Netflix is able to stream thousands of movies to consumer devices without the need to have those movies downloaded locally, Agawi could stream PC, Social and Casual, and Mobile Games and Apps to millions of users without the need to download and install those games.",2010,"Menlo Park, CA",https://media.licdn.com/dms/image/C510BAQGizNe7rqEnAA/company-logo_400_400/0?e=1583971200&v=beta&t=kVru0Gmfu14vqFPKRDuomDjVkl6WNud6pY6EvtHFhJ8,Computer Games,Agawi,,,,Privately Held,http://www.agawi.io
"agentrun
",2-10 employees,"AgentRun is insurance agency management software designed and maintained by experts in both insurance and software development.

We provide tools that help insurance agents keep their contacts, policies, files and other information online, secure and available all the time. Our features include customer relationship management, sales management and marketing tools.

Our team is on duty to support our insurance agencies 24 hours, 7 days a week. Their success is ours as well.

Because awesome software is just not enough.",2012,"Chicago, IL",https://media.licdn.com/dms/image/C510BAQGGc2jcIPo4KA/company-logo_400_400/0?e=1583971200&v=beta&t=3agxId7fHfyawYwIfBz8CbLnjEZqG4RhsRpI2JL9JrY,Insurance,AgentRun,,,"Insurance, CRM, SaaS, Internet, Online Marketing, Computer Software, and Insurance Agency Management",Privately Held,https://agentrun.com
"agilitycommunications
",11-50 employees,"Agility Communications is a wholesale only provider of Voice and Data services.  Agility’s partner-reseller business model focuses on each of our wholesale partner's requirements. We have developed a product portfolio that pairs quality of service with technical excellence.

Our dedicated team of specialists are easy and transparent to work with, helping your  business at every step of the way, and during both pre-sales and  after-sales support. Indeed, we distinguish ourselves by our ability to work closely with our partners, enabling them to win business through intimate understanding of their customer requirements. 

Agility is proud to be the sole Irish provider of wholesale Avaya IP Office Server and Cloud Solutions. 

Agility offers wholesale, white label packages of:

Direct managed Fibre
Business broadband 
Wholesale SIPtrunks
Wholesale phone line rental
Voice calls over SIP and Phone lines
We also include porting numbers, offering geographical numbers, 1800 numbers and lots more within Ireland and the rest of the world!",,"Rathfarnham, Dublin 14",https://media.licdn.com/dms/image/C510BAQFLwMIZaNBXJg/company-logo_400_400/0?e=1583971200&v=beta&t=M3H9T1PvbHAMUHJ6OiLB6TNmKlYCQEcHDRUO08ygCYw,Telecommunications,Agility Communications Ltd,3.0,,"Telecommunications Provider, On site PBX, Call Recording, Wholesales, Reseller, Video Conferencing, Wi Fi, Voice & Data Cabling, Comms Room Fit Outs, Nortel, Siemens, Ericsson Maintenance, Telecommunications Maintenance Contracts, Data Connectivity, Voice Calls, and Global Telcom Carrier",Privately Held,http://www.agilitycommunications.ie
"agribank
","501-1,000 employees","The Agricultural Bank of Zimbabwe, in its present state, has evolved in various forms over the past 82 years. Its roots can be traced to 1924 when the Land and Agricultural Bank was found to cater for the needs of commercial farmers of the day. In 1971 the Agriculture Finance Corporation (AFC) was conceived through an act of Parliament, which amalgamated the Land and Agricultural Bank and the Agricultural Assistance Board.

In 1996, the Bank was incorporated as the Agricultural Bank of Zimbabwe and was subsequently granted a commercial licence in June 1999. The Bank began its operations on 10 January 2000 and remains focused on agricultural lending to farmers, augmented by Corporate, Treasury and Retail Banking operations, in all parts of Zimbabwe throughout its wide branch network. Agribank currently has more than 40 branches throughout all the provinces of Zimbabwe.",1924,,https://media.licdn.com/dms/image/C4D0BAQEuWlIkzLRPfw/company-logo_400_400/0?e=1583971200&v=beta&t=pspe3u26NIdKxkIyAeLGzGfN_PgMuzPUX26ugqgJjcY,Banking,Agribank,1057.0,,,Government Agency,http://www.agribank.co.zw
"agrican
",2-10 employees,"AgriCan International Inc. is a special crop exporting company that has direct relations with primary producers across Saskatchewan. We have the ability to provide conventional and organic lentils, peas, chickpeas, oats, milling barley, durum, and spring wheat to consumers around the world at reasonably lower prices. We are sitting in the heart of one of Canada's largest production areas of crops, and we are ready to serve you.",2010,"Markinch, Saskatchewan",https://media.licdn.com/dms/image/C4D0BAQGqUQ4zRG0-Yw/company-logo_400_400/0?e=1583971200&v=beta&t=VDJa_Pj1vgJ0yBmitKDxxru0l7suou32g029vOKWuuc,Food Production,AgriCan International,,,,Privately Held,http://agrican.ca
"ahaa
",2-10 employees,"Ahaa is a company based out of 615 Calibre Lake Pkwy Se, Smyrna, Georgia, United States.",,"Smyrna, Georgia",,,,,,,,
"aimta
",,Aimta is a company based out of Canada.,,,,,,,,,,http://aimta1751.ca
"airmap
",2-10 employees,"AIRMAP is a private company which provides Services and Operations for the Unmanned Aerial Vehicles (UAV) Market.

The Operations include:
- Thermal monitoring (Solar Panel and infrastructures)
- Aerial photogrammetry
- Infrastructure  inspection
- Flight testing
The Services include:
- RPAS Certification Consulting (Authority ENAC, EASA) 
- Aerial Safety  Assessment (ARP 4754, SORA -Specific Operational Risk Assessment-)
- CONOPs design
- Flight planning 
- UAV Team organization
- Complex missions project management
  
ENAC Ref. 7955",2013,"Trieste, Italia",https://media.licdn.com/dms/image/C4E0BAQFmuMNYywmGcQ/company-logo_400_400/0?e=1583971200&v=beta&t=oOr7ONq12S0Eh2uArCCd7xW2eSCiNMAXJOOsi6bYE-g,Aviation & Aerospace,AIRMAP,2.0,,"UAS (Unmanned Aerial System), RPAS (Remotely Piloted Aerial Systems), Remote Sensing and  GIS services, Enviromental Monitoring, and Aerial Termography",Privately Held,http://www.airmap.it
"airlock
",11-50 employees,"Airlock was a multi-award winning digital agency, who specialised in creating digital experiences driving engagement.

The founders of the company were Charlie Martin, Joseph Denne and Will Lebens. Chris Mair joined the board of directors from Diesel (clothing company) in early 2006.

Airlock was acquired by Publicis in early 2011.",2001,"London, London",https://media.licdn.com/dms/image/C4E0BAQEYUlnRHEahDQ/company-logo_400_400/0?e=1583971200&v=beta&t=NoyBitetJIBHuJjDQ8ODpKqYUPVq305Cye5ETh12Yzs,Marketing & Advertising,Airlock,11.0,,"Digital brand strategy, Technical production, Creative development, Content management, UX/Interaction planning, Campaign management, Web design, CRM, Online advertising, Metrics & reporting, and Social media",Public Company,http://airlock.net
"airshow
",,"Airshow teaches principles of persuasion, applies Aristotelian rhetoric, Cinematographic theory and Cinematic storytelling as well as Tufte design principles into a new medium.",,,https://media.licdn.com/dms/image/C4D0BAQH9699_Op0EyA/company-logo_400_400/0?e=1583971200&v=beta&t=eDw7_ryrCwDZgq7VzpGNgUG6-Lo0UL84GvY5w2lydSI,Marketing & Advertising,Airshow - the Art of Storytelling,,,,,http://airshow.io
"airtec
",,Airtec is a company based out of France.,,,,,,,,,,http://airtec.fr
"airtek
",51-200 employees,"AIRTEK Indoor Air Solutions is an industry leader in commercial and residential duct cleaning, kitchen exhaust hood cleaning, dryer vent cleaning and power washing. With a focus on achieving cleaner, healthier and more energy-efficient indoor environments; AirTek has successfully completed over 75,000 duct cleaning projects in California.

We continuously strive to set the industry standard by providing safe, efficient, high-quality services; relying on our quality of service, industry expertise, and honest communication; consistently providing a safe environment; and adapting existing services as needed to keep up with our rapidly changing communities.
Whether it’s a simple residential duct removal or a full scale commercial building abatement, satisfied customers include insurance carriers, real estate and lending institutions, restoration specialists, construction companies, and government agencies, as well as private industry and homeowners.

AIRTEK conforms to the highest professional standards as set forth by the NADCA (National Air Duct Cleaning Association). The NADCA has strict standards relating to equipment, cleaning procedures and ethical behavior.",1993,"Azusa, CA","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Insurance,AirTek Indoor Air Solutions,20.0,,"Insurance, Air Duct Cleaning, HVAC Cleaning, NADCA, Dryer Vent Cleaning, and Kitchen Hood Cleaning",Public Company,http://Air-Tek.net
"alcide
",11-50 employees,"Alcide cloud-native security platform protects any combination of container, serverless, VM and bare metal. Alcide empowers DevOps, Security and Engineering teams with simplified controls to manage and secure the evolving data center and hybrid cloud, at any scale.",2016,"Tel-Aviv, Tel-Aviv",https://media.licdn.com/dms/image/C560BAQGAzub3L_OkIw/company-logo_400_400/0?e=1583971200&v=beta&t=CvnNaRwFUhvB1SNPck51kkYfEvyyJ0a6o_QG_Ml_-LU,Computer & Network Security,Alcide.io,30.0,,"cloud ops, Cloud-native security, Network security, serverless, Kubernetes, Containers, Service-mesh, devops, devsecops, and firewall",Privately Held,http://alcide.io
"aldus
",,aldus is a mechanical or industrial engineering company based out of Uganda.,,,,Mechanical Or Industrial Engineering,,,,,,http://aldussystems.com
"aleris
","5,001-10,000 employees","Aleris is a privately-held, global leader in aluminum rolled products. Headquartered in Cleveland, Ohio, Aleris operates 13 production facilities in North America, Europe and Asia.  For more information, visit www.aleris.com.

Major customers include some of the world’s largest companies in the aerospace, building and construction, containers and packaging, metal distribution, and transportation industries. Aleris serves these customers with its low-cost, flexible, technically advanced and strategically located manufacturing operations supported by industry-leading research and development.",2004,"Cleveland, Ohio",https://media.licdn.com/dms/image/C560BAQFaDwXzxXPChw/company-logo_400_400/0?e=1583971200&v=beta&t=w4g4q8A-wXJJ5iTVKyckhnOzRK8mD_80VqerssTRLsI,Mining & Metals,Aleris,2131.0,,aluminum and manufacturing,Privately Held,http://www.aleris.com
"algo
",11-50 employees,"ALGO provides software solutions for the Financial Services Industry. We focus on highly qualitative, timely delivered and cost-effective software development.

We have over 15 years experience in providing software development and project management capabilities which ensure us to develop solutions that give your business an edge over your competitors.

ALGO’S team includes some of the most experienced project managers, software designers, developers, system admins, network designers and business analysts in the Financial and Capital Markets with an understanding of the fast changing IT industry.",,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Capital Markets,ALGO,86.0,,,Privately Held,http://algoinc.com
"alineagroup
",2-10 employees,"ALINEA is an exclusive investment group for businesses in fragmented industries & HNWI focused on identifying attractive investment opportunities. We specialize in private equity, venture capital and strategic partnerships that create long-term value for our investors and partners.",2017,"San Pedro Garza García, Nuevo León",https://media.licdn.com/dms/image/C560BAQFIwQjy-mw0bw/company-logo_400_400/0?e=1583971200&v=beta&t=bnA_3KE1ECIi0D6dXutEdD0isj53qgAICnVkG7R0vZY,Venture Capital & Private Equity,ALINEA Group,5.0,"8119537147
        

          Phone number is 8119537147","Private Equity, M&A, Buyouts, Strategic Partnerships, Joint Ventures, and Venture Capital",Privately Held,http://alinea.group
"alladvantage
",,Please see Wikipedia entry: https://en.wikipedia.org/wiki/AllAdvantage,,"Hayward, California",https://media.licdn.com/dms/image/C4E0BAQEtKb94QwjqGg/company-logo_400_400/0?e=1583971200&v=beta&t=TX9PyP0I7z1C08AdJxUSUEuw8N9g5yM6HezhR5y0oDg,,AllAdvantage,,,,,
"allform
",,"Allform is a company based out of 110 Schwarzenbrinker Str., Detmold, North Rhine-Westphalia, Germany.",,"Detmold, North Rhine-Westphalia",,,,,,,,http://www.allform.de
"alliant
",11-50 employees,"Alliant Communications provides Profitability and a Competitive Advantage to our Clients, a Quality Work Environment for our Employees and a Partnership with our Community

Alliant has become one of the leading technology companies in Central and Eastern Washington, focused on both the commercial and industrial markets. Alliant provides the engineering, installation and long term service for every Technology solution we design.
Alliant understands the critical role Telephone and IT systems play in the smooth operation, growth and success of every business. Working with each customer to establish a Technology strategy, based on the highest quality product and service standards, Alliant ensures optimum system performance and customer satisfaction for years to come. Alliant’s customized Communications and IT solutions help increase their customer's profitability, while giving them a competitive advantage in their markets.",2003,"Yakima, WA",https://media.licdn.com/dms/image/C4E0BAQGH6JMKvid9Cw/company-logo_400_400/0?e=1583971200&v=beta&t=TtCGE5H_p44u33SuzAxU7iU6hVUh6Uo1l2xv-h3aAr0,Information Technology & Services,Alliant Communications,26.0,,,Privately Held,http://alliant.net/index.html
"alliente
",,"ALLIENTE is a company based out of 5 De Keyserlei, Antwerpen, Belgium.",,,,,,,,,,
"alohabrands
",201-500 employees,Aloha Brands Inc. is the parent company of Aloha Cannabis Co. A provider of premium Cannabis products sources from our partner cultivators. We find the most premium inputs without compromise and use these to produce the best quality consumables available today. We also strive to reduce our environmental footprint through innovative solutions.,2018,"Calgary, AB",https://media.licdn.com/dms/image/C4D0BAQHxVYplRuKk3w/company-logo_400_400/0?e=1583971200&v=beta&t=uEk9jWaa5-3QIjErE6mI3nV1xNSS9qQplbr3bzUztt8,Consumer Goods,Aloha Brands Inc.,3.0,,,Privately Held,https://AlohaCannabis.ca
"alpha
",11-50 employees,"Alpha is a leading independent data management, data storage, data backup and data recovery solutions provider with 28 years experience delivering turnkey solutions to empower organisations to manage and secure their vital information assets. 

By relying on our proven expertise, strong strategic partnerships, and powerful solutions, Alpha enables you to improve the availability of information on which your business decisions are made; maximise efficiency by finding business critical information more quickly and easily; and achieve and maintain standards compliance across industries, resulting in sustained competitive advantage.",1980,"Stockport, Cheshire",https://media.licdn.com/dms/image/C560BAQFHGAs3H3892g/company-logo_400_400/0?e=1583971200&v=beta&t=HfRStquXzhxOUq2EJQuKSfeFJtPrWtQCrNrtB14rjqU,Information Technology & Services,Alpha,610.0,,"Storage, Virtualisation, NetApp, and VMware",Privately Held,http://www.alphacom.co.uk
"alphaindustries
",11-50 employees,"Wheel Lock / Wheel Clamp

Used by the Police, US Customs, the Armed Forces and Government Agencies, the AlphaLock may be the strongest tire lock anti theft device available to the public. Designed with ease of use in mind, this wheel lock can secure all cars, trucks, trailers, RV’s, mobil homes, golf carts, motorcycles and it will also protect towable construction equipment such as generators, welders, mixers, compressors, light towers, signage boards, virtually anything on wheels.

With the Alpha Lock you can now secure and protect virtually any and all vehicles and equipment within seconds!",1997,"Los Angeles, CA",https://media.licdn.com/dms/image/C560BAQFPStsW0ugfTg/company-logo_400_400/0?e=1583971200&v=beta&t=l3dcTpMX1jbAgALsTiAGMOUcTGCxvGing3MVwt9OaVo,Law Enforcement,Alpha Industries,23.0,,,Privately Held,http://www.alphalock.com
"alpharoot
",2-10 employees,"AlphaRoot is a full service insurance brokerage and technology platform providing tailor-made risk solutions to the cannabis, agriculture, and sustainable industries.",2015,"New York , New York",https://media.licdn.com/dms/image/C560BAQGQ6T_24KgGtw/company-logo_400_400/0?e=1583971200&v=beta&t=zV7dLuCEYU5MchtiqDILmFBjCVNusOBorHNQHkBiJbk,Insurance,AlphaRoot,,,"Cannabis, Cannatech, Agriculture, Agtech, real estate, construction, sustainability, insurance, risk management, and compliance",Privately Held,http://alpharoot.co
"alquantal
",2-10 employees,@alquantal,2019,"Pune, Maharshtra",https://media.licdn.com/dms/image/C510BAQF-6f1CaM2r5A/company-logo_400_400/0?e=1583971200&v=beta&t=VPTpKOBIQtQaYvrNrD65o2teIMw0W-c0L1EtCGIr_Mg,Information Technology & Services,ALQUANTAL,,,"Machine Learning, Artificial Intelligence, and Data Science",Privately Held,https://medium.com/alquantal
"alternascapes
",11-50 employees,"AlternaScapes is a company based out of 2231 Whitfield Park Ave, Sarasota, Florida, United States.",,"Sarasota, Florida",,,,,,,,http://justlikegrass.com
"altocom
",2-10 employees,"Altocom offers websites on alternative domain extensions providing businesses and individuals with the exact names they need.
Domain extensions: 
.COM.PUB
.COM.AMSTERDAM
.COM.IMMOBILIEN
.COM.RESTAURANT 
.COM.PIZZA
.COM.HAUS
.MIL.ARMY
.GOV.ONE",2018,"Dublin 11, County Dublin",https://media.licdn.com/dms/image/C4E0BAQGf1G73SebXUg/company-logo_400_400/0?e=1583971200&v=beta&t=z36U4J9Pms61arGqXMcVx7fRUPEasxikwVYVtXMNppc,Internet,Altocom,3.0,,"domain names, domains, domain registrar, TLDs, and Domain Extensions",Privately Held,http://altocom.com
"alumax
",11-50 employees,Alumax is a leading manufacturer of facade and cladding materials and it's main product is Aluminum Composite Panel. The factory is located in southern Iranian city of Bandar-Abbas.,2001,,https://media.licdn.com/dms/image/C4E0BAQEfn-9ey6INOg/company-logo_400_400/0?e=1583971200&v=beta&t=Yvd4-_lX9gdj29krqxc0TqnaIrSVlCDl6zUvqHGo82s,Building Materials,Alumax,77.0,,,Privately Held,http://alumax.ir
"amsan
","1,001-5,000 employees","America’s Only National Jan-San Distributor

AmSan, America’s leading supplier of janitorial and cleaning products, is the only jan-san distributor that provides national coverage to institutional customers. AmSan delivers a world-class customer experience through detailed product training, robust e-commerce capabilities, and comprehensive facility assessment programs that maximize customer productivity and reduce overall supply costs. With its 300 expert field sales consultants, AmSan has the size and scale to offer national brand and exclusive brand products a local focus, and customized solutions.

Now Offering Facility Maintenance Supplies

AmSan has significantly expanded its facility maintenance product offering. AmSan can provide you with thousands of additional products in the following categories: appliances, electrical, lighting, HVAC, plumbing, hardware, tools, access control, and door hardware. AmSan has all of the products essential to keeping your facilities clean and running efficiently.

The AmSan Advantage: 

Wide selection of janitorial, cleaning, and facility maintenance products; more than 100,000 SKUs in stock
National coverage with reliable next-day delivery to most of the USA
300+ experienced field sales consultants provide expert service and solutions on a local level
Thousands of leading name brand products from world-class manufacturers
High-quality exclusive brand products to stretch your maintenance budget
Sustainable product solutions in multiple categories
Special Orders team for sourcing hard-to-find products
Customized on-site facility assessment program to maximize cost savings and efficiencies
Savings through vendor consolidation and product standardization
Equipment repair and maintenance services
Feature-rich account management and productivity tools on AmSan.com",1987,"Pompano Beach, FL",,Logistics & Supply Chain,,,,"janitorial supplies, cleaning supplies, janitorial distributor, green cleaning supplies, industrial supplies, and MRO supplies",Public Company,http://www.amsan.com
"ambar
",51-200 employees,"Ambar: A brand that stands for affirmation of values such as quality, innovation and design.
Interacting with their customers, in response to the daily needs of consumers looking to highlight the difference and the ability to reinvent every collection of products. 
Organized in three business areas - school, home and office.
Ambar is a 100% Portuguese company whose long experience in the processing of paper manufacturing allows a strong presence in all channels of national and international distribution, with special relevance in the Spanish market and several countries in Europe, Africa and Middle East.",1939,"Porto, Porto",https://media.licdn.com/dms/image/C4D0BAQEUszPGmXak2g/company-logo_400_400/0?e=1583971200&v=beta&t=WY8NO79SbV2-0xw2-eiKiy7g2str9ul_OE6dgg3b8f8,Paper & Forest Products,ambar:,175.0,,"Office and School Stationery, Diaries, Notebooks, Wrapping Systems, Lever arch files, Excercise and spiral books, Ringbinder, and School bags",Partnership,http://www.ambar.pt
